sector,highestValue,highestDate,lowestValue,lowestDate,dropDiff,dropPercentage,dropDays,recoveryValue,recoveryDate,recoveryDays,recoveryDiff,recoveryPercentage
Energy,2463.033431982425,2015-06-01 00:00:00,1497.4938139360747,2016-01-21 00:00:00,965.5396180463504,-39.20123882643425,234.0,1904.6198942009376,2016-03-01 00:00:00,40.0,407.1260802648628,27.187162743247384
Consumer Defensive,10194.865774460235,2015-10-30 00:00:00,8471.881406804352,2016-01-18 00:00:00,1722.984367655883,-16.900510568488638,80.0,9309.143559801543,2016-02-26 00:00:00,39.0,837.2621529971912,9.882836087917003
Healthcare,7091.479739773382,2015-12-30 00:00:00,5507.395508795793,2016-02-09 00:00:00,1584.084230977589,-22.337851747542476,41.0,6061.259093964948,2016-02-26 00:00:00,17.0,553.8635851691552,10.056724349732765
Financial Services,988.53599593374,2015-06-01 00:00:00,568.5072477615211,2016-02-12 00:00:00,420.0287481722189,-42.489980122117146,256.0,620.8614107546244,2016-02-18 00:00:00,6.0,52.35416299310339,9.209058142925391
Basic Materials,3119.0873846861664,2015-06-03 00:00:00,1539.4234754922404,2016-01-26 00:00:00,1579.663909193926,-50.64506743060895,237.0,1972.386369727852,2016-02-23 00:00:00,28.0,432.96289423561166,28.125002712276366
