sector,highestValue,highestDate,lowestValue,lowestDate,dropDiff,dropPercentage,dropDays,recoveryValue,recoveryDate,recoveryDays,recoveryDiff,recoveryPercentage
Technology,154.19752462825477,2011-07-22 00:00:00,135.78151648499096,2011-08-23 00:00:00,18.41600814326381,-11.943128262053374,32.0,150.64505440036436,2011-09-29 00:00:00,37.0,14.8635379153734,10.946657763257777
Industrials,139.86868013736657,2011-04-21 00:00:00,100.75081787191392,2011-10-04 00:00:00,39.117862265452644,-27.967563736952805,166.0,104.15045241733182,2011-10-05 00:00:00,1.0,3.3996345454178964,3.374299700216731
Energy,56.80566738775464,2011-05-02 00:00:00,44.6855903178072,2011-09-23 00:00:00,12.120077069947442,-21.336034989635763,144.0,47.86435726269469,2011-09-27 00:00:00,4.0,3.1787669448874922,7.113628626767306
Consumer Defensive,43.51709112411768,2011-05-13 00:00:00,38.39318008877411,2011-08-11 00:00:00,5.123911035343568,-11.774479642330315,90.0,41.9535033301393,2011-08-25 00:00:00,14.0,3.5603232413651895,9.27332206692147
Healthcare,13.66762911599218,2011-06-01 00:00:00,11.022321034971446,2011-08-09 00:00:00,2.6453080810207332,-19.35454978014818,69.0,12.29811989159983,2011-09-07 00:00:00,29.0,1.2757988566283842,11.574684248268126
Financial Services,70.99539434076563,2011-03-09 00:00:00,35.7929099118918,2011-10-04 00:00:00,35.20248442887383,-49.584180432758764,209.0,37.48883181040839,2011-10-05 00:00:00,1.0,1.6959218985165947,4.738150384227753
