Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,56.71756521860758,56.97304974661933,54.92917352252536,55.18465805053711,3908164,0.0,0
2000-01-04,54.16271209716797,54.418196588192345,53.65174311511922,54.16271209716797,6895378,0.0,0
2000-01-05,51.60786331708159,52.11883226081507,50.84140990148136,51.352378845214844,14657098,0.0,0
2000-01-06,51.60787145870248,52.11884048304607,49.18076859307043,49.563995361328125,10632084,0.0,0
2000-01-07,50.33044095774788,51.60786331708159,49.8194720140144,51.352378845214844,8368286,0.0,0
2000-01-10,52.62979225158691,52.62979225158691,50.84140125274658,51.096885681152344,6201139,0.0,0
2000-01-11,51.096904521085776,51.096904521085776,49.819481908058634,50.07496643066406,8366294,0.0,0
2000-01-12,48.92525219607663,49.563963060255176,48.92525219607663,49.18073654174805,7369722,0.0,0
2000-01-13,49.563987199650256,49.6917294347009,48.79753378934639,49.43624496459961,5281865,0.0,0
2000-01-14,49.94721390480219,50.202698374903484,49.053018259447676,49.43624496459961,5930363,0.0,0
2000-01-17,50.330451747914054,50.330451747914054,49.053029114718264,49.30851364135742,4628898,0.0,0
2000-01-18,49.30850112438202,49.30850112438202,48.54204773902893,49.053016662597656,3157976,0.0,0
2000-01-19,48.28656502894997,49.053018442107906,47.52011161579203,47.64785385131836,13908521,0.0,0
2000-01-20,47.39235787313493,47.903326691174115,46.62590464607614,46.75364685058594,10790069,0.0,0
2000-01-21,45.859452969461515,46.49816401360443,45.731710760632936,46.242679595947266,15114204,0.0,0
2000-01-24,47.52011054930983,47.7755950146287,46.88139938601265,47.39236831665039,11414778,0.0,0
2000-01-25,46.7536484312616,47.00913284891877,45.859452969461515,46.242679595947266,13997737,0.0,0
2000-01-26,46.4981580760381,47.00912684610445,46.242673691004924,46.62590026855469,7499739,0.0,0
2000-01-27,46.75365715335322,47.7755950146287,46.75365715335322,47.39236831665039,7140986,0.0,0
2000-01-28,48.542037400217986,48.79752180758756,48.28655299284842,48.4142951965332,11642131,0.0,0
2000-01-31,47.26460971160309,47.392351900012834,46.753640957964144,47.13686752319336,8232734,0.0,0
2000-02-01,47.264651319255,47.52013592098071,46.88142441666645,47.0091667175293,8027696,0.0,0
2000-02-02,46.62590464607614,47.77558448666432,46.49816244156634,46.75364685058594,9805418,0.0,0
2000-02-03,46.62590026855469,47.00912684610445,46.11493149848834,46.62590026855469,10432032,0.0,0
2000-02-04,46.62590026855469,47.00912684610445,46.11493149848834,46.62590026855469,0,0.0,0
2000-02-07,46.62590026855469,47.00912684610445,46.11493149848834,46.62590026855469,0,0.0,0
2000-02-08,45.60396901677164,45.987195647164675,45.093000176247585,45.476226806640625,19295358,0.0,0
2000-02-09,46.11495691094517,46.753668225501194,45.476245596389134,46.37044143676758,12382961,0.0,0
2000-02-10,45.731712893855274,46.3704239677918,45.731712893855274,45.85945510864258,9652102,0.0,0
2000-02-11,45.98720983785275,46.7536633351503,45.348498590104796,46.114952087402344,19089385,0.0,0
2000-02-14,44.96525844029018,45.476227286202565,44.1988051714216,44.709774017333984,26168879,0.0,0
2000-02-15,44.454286363389755,44.965255172164355,44.07105975680881,44.8375129699707,18810191,0.0,0
2000-02-16,45.47623431231525,47.775594474173886,45.34849208110088,47.264625549316406,17841441,0.0,0
2000-02-17,47.009142147597444,48.158822254468035,47.009142147597444,47.520111083984375,10789190,0.0,0
2000-02-18,47.520095616170806,47.775580001203984,46.242673691004924,46.62590026855469,10116832,0.0,0
2000-02-21,45.9872044398132,46.49817337803334,45.22075103248298,45.731719970703125,8839331,0.0,0
2000-02-22,45.348487854003906,45.47623007331096,44.96526119608274,45.348487854003906,11567491,0.0,0
2000-02-23,44.83753305926877,45.348502096981235,44.709790799840654,45.093017578125,15418845,0.0,0
2000-02-24,45.47624083965439,46.242694336951935,45.348498590104796,46.114952087402344,8222217,0.0,0
2000-02-25,46.49817337803334,46.49817337803334,45.47623550159305,45.731719970703125,5538684,0.0,0
2000-02-28,45.731711226902654,45.859453437033665,44.454289125592524,45.476226806640625,14537673,0.0,0
2000-02-29,45.987226983078386,45.987226983078386,45.3485154972023,45.604000091552734,7043558,0.0,0
2000-03-01,46.114969280253604,46.24271157742882,45.093030902851865,45.604000091552734,11562599,0.0,0
2000-03-02,45.60399383848364,45.60399383848364,44.58205560120669,44.96528244018555,8791949,0.0,0
2000-03-03,44.709765808630124,45.0929923727041,44.454281432580814,44.58202362060547,10539867,0.0,0
2000-03-06,44.70978720339736,44.96527170170249,44.19881820678711,44.19881820678711,12136705,0.0,0
2000-03-07,43.560101090816026,44.07107001856754,43.43235885887815,43.687843322753906,11561868,0.0,0
2000-03-08,43.04912213925962,45.348481778745295,43.04912213925962,44.8375129699707,18341869,0.0,0
2000-03-09,45.348509279164396,45.60399383848364,44.70979788086631,44.96528244018555,10370819,0.0,0
2000-03-10,44.8375129699707,45.092997374358,44.58202856558341,44.8375129699707,7541900,0.0,0
2000-03-13,44.375282287597656,45.156079043391166,44.2451494949654,44.375282287597656,7209079,1.612,0
2000-03-14,44.50542686259852,44.50542686259852,43.984895554264035,44.115028381347656,7866243,0.0,0
