Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-12,28.688603457435388,29.633161614306825,28.688603457435388,29.410913467407227,212976,0.0,0.0
2002-08-13,29.447958358845824,29.92023750150679,28.799732860380665,29.012720108032227,153576,0.0,0.0
2002-08-14,29.077549849734673,29.077549849734673,26.466125452559268,27.012489318847656,822776,0.0,0.0
2002-08-15,27.012489318847656,27.012489318847656,27.012489318847656,27.012489318847656,0,0.0,0.0
2002-08-16,26.87357295495122,28.1515018423808,26.484636601713518,26.947654724121094,811856,0.0,0.0
2002-08-19,27.16991384093915,27.16991384093915,26.03088992978845,26.28091812133789,205880,0.0,0.0
2002-08-20,26.466125452559268,28.68861333916319,26.290179060077687,27.012489318847656,3773624,0.0,0.0
2002-08-21,28.503404967893932,29.040507883043865,27.05879015551676,28.336719512939453,3011064,0.0,0.0
2002-08-22,29.272006413979696,30.799966225763114,29.12384004884151,29.559078216552734,6732480,0.0,0.0
2002-08-23,29.818373185347127,32.31867155803151,29.457219541167166,31.337072372436523,4841672,0.0,0.0
2002-08-26,31.837139816307793,32.04086901560903,30.975926837344574,31.2259578704834,2576912,0.0,0.0
2002-08-27,31.485248026799038,32.78169941613782,30.188796637460253,30.44808578491211,3694224,0.0,0.0
2002-08-28,30.355479859201253,30.81849817813989,29.846159708368752,30.475866317749023,1674960,0.0,0.0
2002-08-29,30.29065899017357,31.022227368888707,30.18879439479916,30.475866317749023,1236544,0.0,0.0
2002-08-30,30.568462000782716,33.42991389955334,30.55920107161386,32.633522033691406,3762384,0.0,0.0
2002-09-02,33.15210717447688,34.05962182704969,32.633526161847065,32.96689987182617,2389568,0.0,0.0
2002-09-03,33.15211725936848,33.29102277861165,31.114836310468743,31.420427322387695,986784,0.0,0.0
2002-09-04,31.022218679785144,32.41127324753672,30.661065057377485,32.105682373046875,1449856,0.0,0.0
2002-09-05,33.087285290820894,33.235451706221816,31.485243166024212,31.91122055053711,1061360,0.0,0.0
2002-09-06,32.04087009085924,32.04087009085924,30.383264949054528,30.72589683532715,907472,0.0,0.0
2002-09-09,29.262752014626074,31.62414497783166,29.262752014626074,30.327693939208984,880848,0.0,0.0
2002-09-10,30.327693939208984,30.327693939208984,30.327693939208984,30.327693939208984,0,0.0,0.0
2002-09-11,30.494387708143012,31.6334145562548,30.494387708143012,31.096311569213867,635936,0.0,0.0
2002-09-12,31.475980881800083,32.02234186568712,31.040745411195484,31.253732681274414,781968,0.0,0.0
2002-09-13,30.161010220703297,31.281512135470628,30.105447464969913,30.364736557006836,338264,0.0,0.0
2002-09-16,30.65181039243612,30.818495844214905,29.540566511139343,29.772075653076172,288592,0.0,0.0
2002-09-17,30.30918144438786,30.837023517903045,30.20731966356902,30.642555236816406,462952,0.0,0.0
2002-09-18,30.466611289524167,30.55921497125524,29.447970790482323,29.698001861572266,315432,0.0,0.0
2002-09-19,29.447977066040043,30.42957686678285,29.077562260177903,29.44797706604004,490848,0.0,0.0
2002-09-20,28.392276443197932,29.39239461963921,28.27189001619374,28.96641731262207,501072,0.0,0.0
2002-09-23,29.17017103986042,29.244252883513433,28.35525945551254,28.475643157958984,248504,0.0,0.0
2002-09-24,28.37375743564125,28.37375743564125,27.20695089520269,27.512544631958008,267912,0.0,0.0
2002-09-25,26.87358803350248,27.96631028508658,26.669858814917,27.725540161132812,379544,0.0,0.0
2002-09-26,28.299672057184114,28.605262929136167,27.9662983984845,28.1607666015625,178136,0.0,0.0
2002-09-27,28.068161610256343,28.892333375305743,28.068161610256343,28.50339698791504,206288,0.0,0.0
2002-09-30,28.06815773605638,28.503393053640284,26.87357160544103,27.46623420715332,202232,0.0,0.0
