,Open,Date,Sector
0,3004.4156557553774,2022-02-24 00:00:00,Energy
1,2982.3376940442367,2022-02-25 00:00:00,Energy
2,3078.1818340351056,2022-02-28 00:00:00,Energy
3,3007.07793793121,2022-03-01 00:00:00,Energy
4,3032.467453201096,2022-03-02 00:00:00,Energy
5,3161.94806780134,2022-03-03 00:00:00,Energy
6,2957.922046215503,2022-03-04 00:00:00,Energy
7,2867.2727906858763,2022-03-07 00:00:00,Energy
8,3040.5194567395492,2022-03-08 00:00:00,Energy
9,3172.662353515625,2022-03-09 00:00:00,Energy
10,2577.9220779220777,2022-03-10 00:00:00,Energy
11,3056.2986695921263,2022-03-11 00:00:00,Energy
12,3012.662377295556,2022-03-14 00:00:00,Energy
13,2900.064919211648,2022-03-15 00:00:00,Energy
14,3012.0129077465504,2022-03-16 00:00:00,Energy
15,2951.558457411729,2022-03-17 00:00:00,Energy
16,3016.428563501928,2022-03-18 00:00:00,Energy
17,3017.012955306412,2022-03-21 00:00:00,Energy
18,3142.207792207792,2022-03-22 00:00:00,Energy
19,3107.012979086343,2022-03-23 00:00:00,Energy
20,3221.4934906402195,2022-03-24 00:00:00,Energy
21,3196.9480440214084,2022-03-25 00:00:00,Energy
22,3201.1039040305395,2022-03-28 00:00:00,Energy
23,3185.714285714286,2022-03-29 00:00:00,Energy
24,3149.3506493506493,2022-03-30 00:00:00,Energy
25,3196.3636522169236,2022-03-31 00:00:00,Energy
26,3201.6233766233768,2022-04-01 00:00:00,Energy
27,3245.2597481863836,2022-04-04 00:00:00,Energy
28,3251.6233766233768,2022-04-05 00:00:00,Energy
29,3252.6623218090504,2022-04-06 00:00:00,Energy
30,3221.363652216923,2022-04-07 00:00:00,Energy
31,3256.6883037616685,2022-04-08 00:00:00,Energy
32,3303.9610231077513,2022-04-11 00:00:00,Energy
33,3275.0,2022-04-12 00:00:00,Energy
34,3312.142865069501,2022-04-13 00:00:00,Energy
35,3341.103888177252,2022-04-14 00:00:00,Energy
36,13735.613271777791,2022-02-24 00:00:00,Consumer Defensive
37,13474.930828386918,2022-02-25 00:00:00,Consumer Defensive
38,13821.025939635301,2022-02-28 00:00:00,Consumer Defensive
39,13866.890623448944,2022-03-01 00:00:00,Consumer Defensive
40,13674.432326561157,2022-03-02 00:00:00,Consumer Defensive
41,13534.910642331937,2022-03-03 00:00:00,Consumer Defensive
42,13290.579597451679,2022-03-04 00:00:00,Consumer Defensive
