sector,highestValue,highestDate,lowestValue,lowestDate,dropDiff,dropPercentage,dropDays,recoveryValue,recoveryDate,recoveryDays,recoveryDiff,recoveryPercentage
Technology,1489.1332574138055,2021-02-16 00:00:00,998.6625092986592,2021-05-11 00:00:00,490.4707481151463,-32.936659340142086,84.0,1726.8041053244258,2021-11-19 00:00:00,192.0,728.1415960257666,72.91167829431447
Industrials,144.32089175994773,2020-02-06 00:00:00,107.52870415743983,2020-03-16 00:00:00,36.792187602507894,-25.493320581544904,39.0,207.7427119268397,2021-11-08 00:00:00,602.0,100.21400776939986,93.19744765329818
Energy,62.1917277605216,2020-02-20 00:00:00,29.655000957710584,2020-03-18 00:00:00,32.53672680281102,-52.31680799751772,27.0,84.00277162916072,2021-11-08 00:00:00,600.0,54.347770671450135,183.2667978967615
Financial Services,288.91825988387933,2020-02-21 00:00:00,188.78171531874145,2020-03-24 00:00:00,100.13654456513788,-34.659126289001016,32.0,415.4812410938861,2021-11-25 00:00:00,611.0,226.69952577514468,120.08553126682968
