,Open,Date,Sector
0,80.81754507239327,2001-09-17 00:00:00,Technology
1,81.3773939236537,2001-09-18 00:00:00,Technology
2,82.80483731971957,2001-09-19 00:00:00,Technology
3,80.20446948372954,2001-09-20 00:00:00,Technology
4,76.02124370157635,2001-09-21 00:00:00,Technology
5,78.06596143651952,2001-09-24 00:00:00,Technology
6,79.93341038433822,2001-09-25 00:00:00,Technology
7,80.12028856608099,2001-09-26 00:00:00,Technology
8,77.07602204545849,2001-09-27 00:00:00,Technology
9,76.0943446000742,2001-09-28 00:00:00,Technology
10,77.7278174607861,2001-10-01 00:00:00,Technology
11,78.09933979489767,2001-10-02 00:00:00,Technology
12,78.39537618870848,2001-10-03 00:00:00,Technology
13,84.41063439639157,2001-10-04 00:00:00,Technology
14,83.65108741493007,2001-10-05 00:00:00,Technology
15,84.91720095636502,2001-10-08 00:00:00,Technology
16,85.87194082981924,2001-10-09 00:00:00,Technology
17,82.28231425731137,2001-10-10 00:00:00,Technology
18,85.26681237055979,2001-10-11 00:00:00,Technology
19,86.57748762392634,2001-10-12 00:00:00,Technology
20,87.31183951384753,2001-10-15 00:00:00,Technology
21,89.00491330694717,2001-10-16 00:00:00,Technology
22,92.58604591024965,2001-10-17 00:00:00,Technology
23,88.64753515619314,2001-10-18 00:00:00,Technology
24,88.5273358138272,2001-10-19 00:00:00,Technology
25,89.46480687042609,2001-10-22 00:00:00,Technology
26,92.60696635032443,2001-10-23 00:00:00,Technology
27,92.56500762700847,2001-10-24 00:00:00,Technology
28,93.6972279268265,2001-10-25 00:00:00,Technology
29,95.72360265522806,2001-10-26 00:00:00,Technology
30,95.83454822004529,2001-10-29 00:00:00,Technology
31,92.5070562563403,2001-10-30 00:00:00,Technology
32,94.36768033266343,2001-10-31 00:00:00,Technology
33,93.26355213337266,2001-11-01 00:00:00,Technology
34,95.22557299512667,2001-11-02 00:00:00,Technology
35,95.89693790205594,2001-11-05 00:00:00,Technology
36,96.22699709114727,2001-11-06 00:00:00,Technology
37,98.82927937491317,2001-11-07 00:00:00,Technology
38,100.1108552682193,2001-11-08 00:00:00,Technology
39,99.39503351320714,2001-11-09 00:00:00,Technology
40,99.58801228185156,2001-11-12 00:00:00,Technology
41,102.32409802896107,2001-11-13 00:00:00,Technology
42,103.30215746212436,2001-11-14 00:00:00,Technology
43,101.091696495776,2001-11-15 00:00:00,Technology
44,101.93265746867678,2001-11-16 00:00:00,Technology
45,101.75344167065124,2001-11-19 00:00:00,Technology
46,101.93950324046847,2001-11-20 00:00:00,Technology
47,100.9193753014479,2001-11-21 00:00:00,Technology
48,100.31263768153777,2001-11-23 00:00:00,Technology
49,101.80448223817383,2001-11-26 00:00:00,Technology
50,101.9293943939604,2001-11-27 00:00:00,Technology
51,99.97346816979066,2001-11-28 00:00:00,Technology
52,99.06141071954089,2001-11-29 00:00:00,Technology
53,100.95907724141284,2001-11-30 00:00:00,Technology
54,100.96939300586334,2001-12-03 00:00:00,Technology
55,101.07782160610776,2001-12-04 00:00:00,Technology
56,103.52055322086868,2001-12-05 00:00:00,Technology
57,106.71503061298797,2001-12-06 00:00:00,Technology
58,106.1495912367204,2001-12-07 00:00:00,Technology
59,105.77483595230444,2001-12-10 00:00:00,Technology
60,106.21653608539248,2001-12-11 00:00:00,Technology
61,106.33068203509228,2001-12-12 00:00:00,Technology
62,105.62974928838592,2001-12-13 00:00:00,Technology
63,104.3329690445499,2001-12-14 00:00:00,Technology
64,104.5652978436998,2001-12-17 00:00:00,Technology
65,106.15603172319882,2001-12-18 00:00:00,Technology
66,105.96879743504314,2001-12-19 00:00:00,Technology
67,107.08383940333543,2001-12-20 00:00:00,Technology
68,105.94994827510696,2001-12-21 00:00:00,Technology
69,105.08501688642173,2001-12-24 00:00:00,Technology
70,104.87483501337087,2001-12-26 00:00:00,Technology
71,105.7090511760889,2001-12-27 00:00:00,Technology
72,106.41669742520295,2001-12-28 00:00:00,Technology
