Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
2005-07-15,764.1094654717302,764.1094654717302,754.5580971533336,762.0330810546875,331487,0.0,0,2005,0.549998,1389.2949892031068,1389.2949892031068,1371.9288018380678,1385.519731080272
2005-07-18,759.1259861706579,766.185691731326,754.557941396108,759.7489013671875,821749,0.0,0,2005,0.549998,1380.2340847978683,1393.0699597659009,1371.9285186420825,1381.36666200093
2005-07-19,761.6178601746626,763.6942447443863,736.7012453379779,757.6727294921875,1462213,0.0,0,2005,0.549998,1384.7647812804094,1388.5400396808468,1339.4616804751615,1377.5917903195784
2005-07-20,750.8205994153341,753.7275375767872,720.5053871601796,733.5866088867188,46141548,0.0,0,2005,0.549998,1365.1333266945228,1370.4186880257514,1310.0145585259938,1333.7986845165233
2005-07-21,741.061505837231,741.061505837231,721.3358563403028,727.9802856445312,14242862,0.0,0,2005,0.549998,1347.3894556657135,1347.3894556657135,1311.5245079805798,1323.6053324639931
2005-07-22,725.9043579101562,728.396020465912,714.2765993166297,725.9043579101562,11455477,0.0,0,2005,0.549998,1319.830904676301,1324.3612167060826,1298.6894485373214,1319.830904676301
2005-07-25,732.5482951008466,737.5316168362266,727.9802501767484,729.641357421875,15666653,0.0,0,2005,0.549998,1331.9108344045735,1340.9714523256932,1323.6052679768807,1326.625473950587
2005-07-26,726.7345939714884,731.7179169015786,720.9207172197165,725.073486328125,6868202,0.0,0,2005,0.549998,1321.3404302769982,1330.4010503703262,1310.7697068347823,1318.320223579222
2005-07-27,725.9042716724787,726.7348257590605,717.1834537633699,720.0903930664062,9112746,0.0,0,2005,0.549998,1319.8307478799536,1321.34085171048,1303.9746576594277,1309.26002106627
2005-07-28,713.0302769037822,716.3524913564498,706.385847998447,709.2927856445312,16144159,0.0,0,2005,0.549998,1296.4233995465115,1302.4638114255868,1284.3425757883613,1289.627936182552
2005-07-29,713.8611360406903,732.5486003349492,713.0305820720566,725.4888916015625,15992763,0.0,0,2005,0.549998,1297.9340580160117,1331.9113893776873,1296.4239543999372,1319.0755086410543
2005-08-01,725.0732581933429,739.1926687194447,725.0732581933429,737.9468383789062,7935728,0.0,0,2005,0.549998,1318.3198087872008,1343.991557641018,1318.3198087872008,1341.726403330387
2005-08-02,740.4387538685019,750.8206769457383,739.608200022323,746.6679077148438,10828386,0.0,0,2005,0.549998,1346.2571752415497,1365.1334676594067,1344.7470718481213,1357.582950692264
2005-08-03,747.4598980034722,758.7723516167534,742.013161078559,754.16357421875,7039541,15.89,0,2005,0.549998,1359.0229382715431,1379.59111054359,1349.1197442146317,1371.2114848031265
2005-08-04,750.811592178771,751.2305718619065,743.5632232025349,749.9736328125,9389063,0.0,0,2005,0.549998,1365.1169498412194,1365.8787338534075,1351.938049233879,1363.593381816843
2005-08-05,747.4599264705882,750.3927849264705,744.9460477941176,747.87890625,6726773,0.0,0,2005,0.549998,1359.0229900301242,1364.3554793407804,1354.4522849067043,1359.7847742173608
2005-08-08,752.0685081227053,754.163406474022,748.2976910903352,752.4874877929688,3485511,0.0,0,2005,0.549998,1367.402259867682,1371.2111798116032,1360.546203968624,1368.1640438564664
2005-08-09,753.3254684763712,771.7605744902535,753.3254684763712,770.0846557617188,11572704,0.0,0,2005,0.549998,1369.6876506394044,1403.2061470955412,1369.6876506394044,1400.1590110540744
2005-08-10,778.4640887346391,782.6538846912302,769.2465376301385,780.9779663085938,9541332,0.0,0,2005,0.549998,1415.3943991335225,1423.0122376649192,1398.6351543644496,1419.9651022523606
2005-08-11,786.8436429116362,793.547316120681,781.3969084292872,785.167724609375,8568585,0.0,0,2005,0.549998,1430.6300075848205,1442.818548650506,1420.7268179689513,1427.5828723183993
2005-08-12,785.5870110354715,785.5870110354715,776.3694567726553,778.46435546875,6261280,0.0,0,2005,0.549998,1428.3452140470902,1428.3452140470902,1411.5859635356044,1415.3948841063968
2005-08-15,776.7883567295947,779.7212146028996,773.85549885629,777.2073364257812,4364231,0.0,0,2005,0.549998,1412.3476025905454,1417.6800908419661,1407.015114339125,1413.1093866264628
2005-08-16,775.5315432566832,778.5062893524406,762.9621503351811,763.8001098632812,4227817,0.0,0,2005,0.549998,1410.062478875711,1415.4711278085385,1387.2089540965262,1388.7325224151384
2005-08-17,761.7050478434695,762.9619868663135,755.0013730549681,758.3532104492188,11407547,0.0,0,2005,0.549998,1384.9233048910532,1387.2086568793222,1372.7347609536182,1378.8290329223357
2005-08-18,750.3925902697505,755.8393259891847,739.0801391601562,739.0801391601562,9842513,0.0,0,2005,0.549998,1364.3551254181843,1374.2583172833076,1343.786957698312,1343.786957698312
2005-08-19,743.2700260853608,751.2306407954069,739.080228869547,749.1357421875,3563485,0.0,0,2005,0.549998,1351.4049616277891,1365.8788591875004,1343.7871208068884,1362.06993877705
2005-08-22,754.1634296438548,754.1634296438548,747.8787343968227,749.9736328125,2132255,0.0,0,2005,0.549998,1371.211221938725,1371.211221938725,1359.7844617559022,1363.593381816843
2005-08-23,747.4598513289623,748.2978108035463,742.432094481458,742.85107421875,7815799,0.0,0,2005,0.549998,1359.0228534084893,1360.5464216297992,1349.8814440806293,1350.6432281912844
2005-08-24,740.7559622875355,746.2026973043555,736.5661661207507,739.4990234375,4103929,0.0,0,2005,0.549998,1346.8339199188642,1356.7371105065029,1339.216081005296,1344.5485682447936
2005-08-25,741.1749226703276,744.9457391225792,738.2420654296875,738.2420654296875,6873657,0.0,0,2005,0.549998,1347.5956688393915,1354.4517236836848,1342.2631817382746,1342.2631817382746
2005-08-26,739.9180985016077,750.3507025316737,736.5662611358019,739.0801391601562,2376708,0.0,0,2005,0.549998,1345.3105256775618,1364.2789656174637,1339.2162537605627,1343.786957698312
2005-08-29,764.2186279296874,764.2186279296874,764.2186279296874,764.2186279296875,0,0.0,0,2005,0.549998,1389.4934671211304,1389.4934671211304,1389.4934671211304,1389.4934671211304
2005-08-30,735.7281619851751,745.3646925806529,734.8902028029597,744.5267333984375,4477850,0.0,0,2005,0.549998,1337.6924315818878,1355.213460013769,1336.1688638921592,1353.6898923240403
2005-08-31,747.8787185921855,760.8670884949069,745.3648405464974,758.3532104492188,6868016,0.0,0,2005,0.549998,1359.7844330200937,1383.399736898874,1355.2137290435553,1378.8290329223357
2005-09-01,758.3533729306303,768.408887267832,758.3533729306303,763.8001098632812,4922689,0.0,0,2005,0.549998,1378.829328344158,1397.1121481675061,1378.829328344158,1388.7325224151384
2005-09-02,765.0566810223696,765.4756605848133,755.797242921355,757.0960693359375,5613957,0.0,0,2005,0.549998,1391.0172055577832,1391.778989350531,1374.1818023362903,1376.5433134955717
2005-09-05,752.06859456066,760.8671686474421,748.7167568133144,759.6102294921875,2925817,0.0,0,2005,0.549998,1367.4024170281712,1383.3998826312861,1361.3081444174604,1381.1145304022696
2005-09-06,757.5150907055502,760.4479478045208,752.9063152643107,755.8391723632812,3293895,0.0,0,2005,0.549998,1377.3051733016305,1382.6376601451657,1368.9255511189326,1374.2580379624676
2005-09-07,758.3532192470791,758.3532192470791,741.5102566035615,744.10791015625,3267027,0.0,0,2005,0.549998,1378.8290489185035,1378.8290489185035,1348.2053691169087,1352.9283927509737
