Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
2001-08-23,4.74270231263744,4.74270231263744,4.673745296826364,4.696731090545654,1615000,0.0,0.0,2001,1.54884,3.062099579451357,3.062099579451357,3.017577862675527,3.0324185135621846
2001-08-24,4.750364501420296,5.010868486100649,4.713587592936695,4.949573516845703,6388500,0.0,0.0,2001,1.54884,3.0670466293615193,3.2352395896933506,3.043301821322212,3.1956648309997826
2001-08-27,4.980220288655546,5.13345768986008,4.972558235921928,5.0568389892578125,2061000,0.0,0.0,2001,1.54884,3.215451750119797,3.3143886326929057,3.210504788049074,3.264920191406351
2001-08-28,5.056838455016062,5.056838455016062,4.888277331499116,4.918924808502197,4062500,0.0,0.0,2001,1.54884,3.2649198464761127,3.2649198464761127,3.1560892871433563,3.175876661567494
2001-08-29,4.941911919296988,4.980221461291827,4.7197174525594106,4.744235515594482,508500,0.0,0.0,2001,1.54884,3.190718162816681,3.2154525072259417,3.0472595313650284,3.063089483480852
2001-08-30,4.800930780440538,4.800930780440538,4.566477589408232,4.568009853363037,487500,0.0,0.0,2001,1.54884,3.0996944684025065,3.0996944684025065,2.9483210592496527,2.949310357017534
2001-08-31,4.6737441431296025,4.750362827702867,4.451549775193783,4.459211826324463,600500,0.0,0.0,2001,1.54884,3.017577117797579,3.0670455487350967,2.8741185501367363,2.879065511172531
2001-09-04,4.443888642539509,4.520507336649483,4.328960418701172,4.328960418701172,1737500,0.0,0.0,2001,1.54884,2.869172182110166,2.9186406192050067,2.7949694085258465,2.7949694085258465
2001-09-05,4.505185843701587,4.505185843701587,4.137415563290295,4.18338680267334,931000,0.0,0.0,2001,1.54884,2.9087483818222584,2.9087483818222584,2.6712995295126,2.700980606565778
2001-09-06,4.289120010312272,4.335091241629448,4.16806232490631,4.290652275085449,4327500,0.0,0.0,2001,1.54884,2.769246668676088,2.7989277405215827,2.691086442051025,2.7702359669723466
2001-09-07,4.428566334383851,4.428566334383851,4.275328531313058,4.290652275085449,4796500,0.0,0.0,2001,1.54884,2.859279418393024,2.859279418393024,2.760342276357182,2.7702359669723466
2001-09-10,4.341220400687659,4.385659364515078,4.2600045271240665,4.293716907501221,2750500,0.0,0.0,2001,1.54884,2.802884998248792,2.8315767700440833,2.750448417605477,2.7722146299819355
2001-09-13,3.98111161021968,4.214032609363263,3.98111161021968,4.175723075866699,14244000,0.0,0.0,2001,1.54884,2.5703827446474006,2.720766902561442,2.5703827446474006,2.6960325636390454
2001-09-14,4.060795680791931,4.129752337661517,3.945867432213512,4.076119422912598,3537500,0.0,0.0,2001,1.54884,2.6218303251413517,2.666351810168589,2.547627535583735,2.6317240146900893
