Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
1988-07-01,126.49533081054688,126.49533081054688,126.49533081054688,126.49533081054688,0,0.0,0,1988,0.56217,225.01259549699714,225.01259549699714,225.01259549699714,225.01259549699714
1988-07-04,128.0012664794922,128.0012664794922,128.0012664794922,128.0012664794922,0,0.0,0,1988,0.56217,227.69138602111852,227.69138602111852,227.69138602111852,227.69138602111852
1988-07-05,130.10952758789062,130.10952758789062,130.10952758789062,130.10952758789062,0,0.0,0,1988,0.56217,231.44160589837708,231.44160589837708,231.44160589837708,231.44160589837708
1988-07-06,134.02481079101562,134.02481079101562,134.02481079101562,134.02481079101562,0,0.0,0,1988,0.56217,238.40619526302655,238.40619526302655,238.40619526302655,238.40619526302655
1988-07-07,131.9165802001953,131.9165802001953,131.9165802001953,131.9165802001953,0,0.0,0,1988,0.56217,234.65602967108762,234.65602967108762,234.65602967108762,234.65602967108762
1988-07-08,132.21774291992188,132.21774291992188,132.21774291992188,132.21774291992188,0,0.0,0,1988,0.56217,235.1917443476562,235.1917443476562,235.1917443476562,235.1917443476562
1988-07-11,129.5071563720703,129.5071563720703,129.5071563720703,129.5071563720703,0,0.0,0,1988,0.56217,230.3700951172605,230.3700951172605,230.3700951172605,230.3700951172605
1988-07-12,126.49533081054688,126.49533081054688,126.49533081054688,126.49533081054688,0,0.0,0,1988,0.56217,225.01259549699714,225.01259549699714,225.01259549699714,225.01259549699714
1988-07-13,128.90480041503906,128.90480041503906,128.90480041503906,128.90480041503906,0,0.0,0,1988,0.56217,229.2986114788037,229.2986114788037,229.2986114788037,229.2986114788037
1988-07-14,126.49533081054688,126.49533081054688,126.49533081054688,126.49533081054688,0,0.0,0,1988,0.56217,225.01259549699714,225.01259549699714,225.01259549699714,225.01259549699714
1988-07-15,127.09770202636716,127.09770202636716,127.09770202636716,127.0977020263672,0,0.0,0,1988,0.56217,226.0841062781137,226.0841062781137,226.0841062781137,226.08410627811375
1988-07-18,126.19422912597658,126.19422912597658,126.19422912597658,126.19422912597656,0,0.0,0,1988,0.56217,224.4769893910678,224.4769893910678,224.4769893910678,224.47698939106778
1988-07-19,128.0012664794922,128.0012664794922,128.0012664794922,128.0012664794922,0,0.0,0,1988,0.56217,227.69138602111852,227.69138602111852,227.69138602111852,227.69138602111852
